Wall time,Step,Value
1615518754.574468,18,0.9487179517745972
1615518759.813107,42,0.9719101190567017
1615518760.496851,45,0.9441747665405273
1615518766.520044,71,0.9383202195167542
1615518771.799079,94,0.834482729434967
1615518790.08685,155,0.714098334312439
1615518790.775682,158,0.7201219797134399
1615518792.86836,167,0.710212230682373
1615518812.121318,229,0.5899182558059692
1615518813.265213,234,0.6005041003227234
1615518817.798219,255,0.5723727941513062
1615518820.523808,267,0.533385694026947
1615518821.774898,273,0.5488775968551636
1615518835.190817,308,0.5071160793304443
1615518835.662466,310,0.45540308952331543
1615518837.380905,318,0.4582299292087555
1615518843.933542,347,0.4558058977127075
1615518848.185849,367,0.42741936445236206
1615518865.166547,421,0.4422277510166168
1615518873.767886,460,0.44178083539009094
1615518877.023978,474,0.40848806500434875
1615518895.597807,536,0.414570689201355
1615518901.670384,563,0.4265323281288147
1615518905.38018,579,0.3596244156360626
1615518906.965874,586,0.34942084550857544
1615518907.203962,587,0.37835338711738586
1615518919.453298,620,0.35480770468711853
1615518922.709999,634,0.3595505654811859
1615518925.552123,647,0.34736841917037964
1615518928.716782,661,0.3471153974533081
1615518930.960592,671,0.3213213086128235
1615518945.29411,714,0.2761194109916687
1615518947.18179,722,0.29660144448280334
1615518949.017836,730,0.2573932111263275
1615518956.976538,765,0.30287474393844604
1615518957.918954,769,0.22840909659862518
1615518958.368144,771,0.2279496043920517
1615518961.587318,785,0.2756410241127014
1615518962.062286,787,0.1892215609550476
1615518963.716893,794,0.17574258148670197
1615518969.61268,802,0.16707921028137207
1615518971.020425,808,0.17639902234077454
1615518977.470948,836,0.1276041716337204
1615519005.56763,945,0.0810810774564743
1615519011.276643,971,0.08141112327575684
1615519011.516453,972,0.06839945167303085
1615519012.895457,978,0.09308510273694992
1615519014.263144,984,0.061898212879896164
1615519021.743863,1002,0.03949224203824997
1615519022.429339,1005,0.05963939055800438
1615519024.470654,1014,0.04481792822480202
1615519035.537754,1063,0.018651362508535385
1615519036.181161,1066,0.014450866729021072
1615519039.062798,1078,0.02844950184226036
1615519042.407968,1093,0.03971631079912186
1615519043.815797,1099,0.025677602738142014
1615519048.391578,1104,0.025604551658034325
1615519060.68534,1156,0.025677602738142014
1615519061.949491,1161,0.03257790207862854
1615519062.158204,1162,0.027142856270074844
1615519066.754203,1180,0.022824537009000778
1615519069.845122,1193,0.02435530163347721
1615519085.30173,1244,0.028409091755747795
1615519089.166163,1261,0.014409221708774567
1615519105.789379,1316,0.014450866729021072
1615519106.491487,1319,0.008695651777088642
1615519109.756197,1333,0.018651362508535385
1615519110.685046,1337,0.02710413746535778
1615519122.126664,1385,0.012987012974917889
1615519123.842429,1392,0.011544011533260345
1615519132.544598,1414,0.020086083561182022
1615519135.311331,1426,0.014430014416575432
1615519137.732109,1436,0.01587301678955555
1615519144.87461,1466,0.011594203300774097
1615519147.612597,1477,0.014409221708774567
1615519150.953372,1491,0.007256893906742334
1615519162.18973,1523,0.01014492753893137
1615519169.075358,1552,0.01881331391632557
1615519172.788371,1568,0.011544011533260345
1615519176.847682,1584,0.011544011533260345
1615519177.817839,1588,0.014450866729021072
1615519185.120976,1605,0.015850143507122993
1615519193.280035,1640,0.010130246169865131
1615519203.357996,1682,0.01011560671031475
1615519205.463973,1691,0.018651362508535385
1615519211.590136,1702,0.008683067746460438
1615519213.350194,1709,0.01157742366194725
1615519215.505747,1718,0.005805515218526125
1615519218.791748,1732,0.005805515218526125
1615519219.282575,1734,0.011544011533260345
1615519219.988531,1737,0.011560693383216858
1615519230.755893,1781,0.005805515218526125
1615519244.733161,1826,0.017216643318533897
1615519249.02365,1844,0.025787966325879097
1615519251.170866,1853,0.01011560671031475
1615519254.474627,1866,0.02844950184226036
1615519255.175373,1869,0.02148997224867344
1615519257.165974,1877,0.025899279862642288
1615519270.195407,1917,0.022922636941075325
1615519274.244906,1934,0.011544011533260345
1615519276.595308,1944,0.02158273383975029
1615519277.387004,1947,0.02575107291340828
1615519293.437751,2001,0.013024602085351944
1615519296.3369,2013,0.008733624592423439
1615519301.547136,2036,0.011594203300774097
1615519310.893412,2076,0.014430014416575432
1615519311.097283,2077,0.008695651777088642
1615519312.843801,2085,0.005839415825903416
1615519313.810152,2089,0.03271692618727684
1615519315.541726,2096,0.032485876232385635
1615519331.548788,2149,0.014409221708774567
1615519333.194525,2156,0.008695651777088642
1615519340.862411,2187,0.005805515218526125
1615519341.836169,2191,0.017216643318533897
1615519343.711777,2199,0.012987012974917889
1615519348.835354,2207,0.21212121844291687
1615519349.887925,2211,0.2075471729040146
1615519354.7187,2231,0.20724637806415558
1615519355.838739,2236,0.038243625313043594
1615519356.048892,2237,0.027065526694059372
1615519360.630351,2257,0.0258620698004961
1615519361.867162,2262,0.017391303554177284
1615519366.384395,2281,0.024320457130670547
1615519370.281382,2297,0.025677602738142014
1615519375.791214,2307,0.02158273383975029
1615519378.585684,2319,0.411255419254303
1615519384.914198,2345,0.015850143507122993
1615519386.979287,2354,0.02710413746535778
1615519395.269386,2389,0.020172910764813423
1615519395.532972,2390,0.01304347813129425
1615519396.02535,2392,0.20784883201122284
1615519409.789713,2436,0.20639534294605255
1615519411.671981,2444,0.03677510470151901
1615519413.745267,2453,0.040462426841259
1615519414.175289,2455,0.40843021869659424
1615519415.322696,2460,0.4057970941066742
1615519421.349319,2485,0.007256893906742334
1615519421.569843,2486,0.20609578490257263
1615519423.97702,2496,0.033898305147886276
1615519424.450217,2498,0.017316017299890518
1615519428.861336,2503,0.015850143507122993
1615519432.131703,2517,0.013005780056118965
1615519433.580591,2523,0.020057305693626404
1615519435.744318,2532,0.2104499340057373
1615519439.326739,2547,0.2083936333656311
1615519440.740346,2553,0.013024602085351944
1615519456.8614,2606,0.20437955856323242
1615519475.443446,2685,0.20899854600429535
1615519482.283108,2703,0.21159420907497406
1615519491.176131,2740,0.20609578490257263
1615519494.494845,2754,0.010174418799579144
1615519502.778113,2789,0.014492753893136978
1615519525.355443,2872,0.018731988966464996
1615519530.9307,2896,0.017316017299890518
1615519550.936094,2967,0.027027027681469917
1615519552.821284,2975,0.013024602085351944
1615519564.553051,3011,0.03142857179045677
1615519570.990457,3038,0.21335268020629883
1615519571.710141,3041,0.010174418799579144
1615519585.984306,3099,0.01729106716811657
1615519604.21339,3161,0.015942029654979706
1615519607.911661,3177,0.015988372266292572
1615519612.144695,3195,0.03156384453177452
1615519612.373699,3196,0.03290414810180664
1615519623.648365,3230,0.01587301678955555
1615519626.050127,3240,0.008708273060619831
1615519626.707275,3243,0.010130246169865131
1615519626.938021,3244,0.029957203194499016
1615519627.412585,3246,0.020057305693626404
1615519627.633247,3247,0.018759019672870636
1615519644.483419,3305,0.01744186133146286
1615519653.801002,3345,0.007278020493686199
1615519660.967717,3376,0.014513787813484669
1615519670.754891,3403,0.005822416394948959
1615519671.912451,3408,0.013005780056118965
1615519676.947293,3430,0.002919707912951708
1615519681.415411,3449,0.018895348533988
1615519684.969039,3464,0.01591895893216133
1615519688.937407,3480,0.015942029654979706
1615519698.990409,3509,0.005822416394948959
1615519699.691575,3512,0.01881331391632557
1615519705.591297,3537,0.002919707912951708
1615519720.470081,3600,0.023188406601548195
1615519728.067544,3618,0.01744186133146286
1615519728.545575,3620,0.02332361601293087
1615519728.973123,3622,0.00872093066573143
1615519730.426955,3628,0.02167630009353161
1615519737.075427,3656,0.024637680500745773
1615519740.340209,3670,0.023121386766433716
1615519757.162354,3726,0.02031930349767208
1615519758.128934,3730,0.011644832789897919
1615519760.682421,3741,0.017341040074825287
1615519772.99333,3793,0.013005780056118965
1615519781.198004,3814,0.0029154520016163588
1615519782.358632,3819,0.004360465332865715
1615519782.827019,3821,0.01015965174883604
1615519785.191983,3831,0.005805515218526125
